ticket_id,customer_id,created_date,subject,message,priority,status,resolution_time_hours
1,1001,2024-01-05,Refund Issue,I want a REFUND!!! I was charged twice!!!,High,Open,12
2,1002,05/01/2024,Login problem,Can't login to my account keeps giving error,medium,open,5
3,1003,2024/01/06,Payment failed,Payment failed again?? please help,High,Closed,8
4,1004,2024-01-07,Delivery delay,My delivery is late and tracking not working, Low ,Open,15
5,1005,January 8 2024,Account issue,PASSWORD reset not working!!!,HIGH,OPEN,
6,1006,2024-01-08,Billing question,Invoice shows extra charge,Medium,Closed,6
7,1007,2024-01-09,Technical bug,App crash crash crash,High,Open,3
8,1008,2024-01-09,Refund Issue,refund?,Low,Open,2
9,1009,2024-01-10,Shipping problem,Where is my package?,Medium,Closed,10
10,1010,2024-01-10,Login issue,LOGIN FAILED LOGIN FAILED LOGIN FAILED,HIGH,OPEN,1
11,1011,2024-01-11,General question,Hi,Low,Open,0.5
12,1012,2024-01-11,Billing issue,Charged wrong amount on invoice,Medium,Closed,9
13,1013,2024-01-12,Account help,Please verify my email address,Low,Open,4
14,1014,2024-01-12,Technical issue,BUG BUG BUG!!! App keeps crashing!!!,High,Closed,7
15,1015,2024-01-13,Delivery issue,Shipping delayed again,Medium,Open,11
16,1016,2024-01-13,Payment problem,Card payment failed,High,Closed,6
17,1017,2024-01-14,Refund Issue,Refund not received yet,Medium,Open,8
18,1018,2024-01-14,Account issue,email change request,Low,Closed,5
19,1019,2024-01-15,Technical help,Error occurs when I try to login,Medium,Open,4
20,1020,2024-01-15,Billing issue,invoice invoice invoice???,High,Open,9
20,1020,2024-01-15,Billing issue,invoice invoice invoice???,High,Open,9
